Date,Year,MonthNumber,MonthName,BusinessUnit,EnergySource,RenewableFlag,EnergyConsumed_kWh,CO2Emissions_tons,WasteGenerated_kg,RecyclingPercent,Cost_USD
2024-01-01,2024,1,Jan,Manufacturing,Electricity,No,9126,4.563,1071,48.9,912.6
2024-01-01,2024,1,Jan,Manufacturing,Fuel,No,2323,1.858,794,52.6,278.76
2024-01-01,2024,1,Jan,Manufacturing,Solar,Yes,1399,0.028,729,56.1,111.92
2024-01-01,2024,1,Jan,Logistics,Fuel,No,4835,3.868,606,25.8,580.2
2024-01-01,2024,1,Jan,Logistics,Electricity,No,2562,1.281,695,14.7,256.2
2024-01-01,2024,1,Jan,Logistics,Wind,Yes,888,0.018,590,17.8,62.16
2024-01-01,2024,1,Jan,IT,Electricity,No,1966,0.983,391,58.7,196.6
2024-01-01,2024,1,Jan,IT,Solar,Yes,2007,0.04,402,74.8,160.56
2024-01-01,2024,1,Jan,IT,Wind,Yes,1009,0.02,421,70.9,70.63
2024-02-01,2024,2,Feb,Manufacturing,Electricity,No,8743,4.372,766,57.6,874.3
2024-02-01,2024,2,Feb,Manufacturing,Fuel,No,2498,1.998,778,64.8,299.76
2024-02-01,2024,2,Feb,Manufacturing,Solar,Yes,1255,0.025,1156,50.0,100.4
2024-02-01,2024,2,Feb,Logistics,Fuel,No,5516,4.413,652,20.2,661.92
2024-02-01,2024,2,Feb,Logistics,Electricity,No,3115,1.558,606,39.5,311.5
2024-02-01,2024,2,Feb,Logistics,Wind,Yes,914,0.018,571,31.4,63.98
2024-02-01,2024,2,Feb,IT,Electricity,No,2019,1.01,354,57.3,201.9
2024-02-01,2024,2,Feb,IT,Solar,Yes,2103,0.042,356,78.5,168.24
2024-02-01,2024,2,Feb,IT,Wind,Yes,1000,0.02,460,71.1,70.0
2024-03-01,2024,3,Mar,Manufacturing,Electricity,No,8802,4.401,722,54.9,880.2
2024-03-01,2024,3,Mar,Manufacturing,Fuel,No,2747,2.198,1069,57.1,329.64
2024-03-01,2024,3,Mar,Manufacturing,Solar,Yes,1242,0.025,1134,47.5,99.36
2024-03-01,2024,3,Mar,Logistics,Fuel,No,4722,3.778,562,38.8,566.64
2024-03-01,2024,3,Mar,Logistics,Electricity,No,2435,1.218,802,20.4,243.5
2024-03-01,2024,3,Mar,Logistics,Wind,Yes,931,0.019,709,32.4,65.17
2024-03-01,2024,3,Mar,IT,Electricity,No,2255,1.127,452,64.8,225.5
2024-03-01,2024,3,Mar,IT,Solar,Yes,2430,0.049,398,72.7,194.4
2024-03-01,2024,3,Mar,IT,Wind,Yes,898,0.018,305,76.6,62.86
2024-04-01,2024,4,Apr,Manufacturing,Electricity,No,8220,4.11,964,58.3,822.0
2024-04-01,2024,4,Apr,Manufacturing,Fuel,No,2567,2.054,916,52.9,308.04
2024-04-01,2024,4,Apr,Manufacturing,Solar,Yes,1231,0.025,756,55.9,98.48
2024-04-01,2024,4,Apr,Logistics,Fuel,No,4920,3.936,874,26.0,590.4
2024-04-01,2024,4,Apr,Logistics,Electricity,No,2699,1.349,853,39.3,269.9
2024-04-01,2024,4,Apr,Logistics,Wind,Yes,837,0.017,861,34.1,58.59
2024-04-01,2024,4,Apr,IT,Electricity,No,2381,1.191,479,71.4,238.1
2024-04-01,2024,4,Apr,IT,Solar,Yes,2066,0.041,345,67.4,165.28
2024-04-01,2024,4,Apr,IT,Wind,Yes,1183,0.024,472,67.7,82.81
2024-05-01,2024,5,May,Manufacturing,Electricity,No,8823,4.412,920,48.1,882.3
2024-05-01,2024,5,May,Manufacturing,Fuel,No,2450,1.96,882,47.7,294.0
2024-05-01,2024,5,May,Manufacturing,Solar,Yes,1245,0.025,969,53.2,99.6
2024-05-01,2024,5,May,Logistics,Fuel,No,4707,3.766,889,41.2,564.84
2024-05-01,2024,5,May,Logistics,Electricity,No,2181,1.091,642,29.8,218.1
2024-05-01,2024,5,May,Logistics,Wind,Yes,846,0.017,720,26.5,59.22
2024-05-01,2024,5,May,IT,Electricity,No,2071,1.036,328,72.4,207.1
2024-05-01,2024,5,May,IT,Solar,Yes,2149,0.043,348,69.9,171.92
2024-05-01,2024,5,May,IT,Wind,Yes,1133,0.023,347,76.0,79.31
2024-06-01,2024,6,Jun,Manufacturing,Electricity,No,7928,3.964,1023,61.1,792.8
2024-06-01,2024,6,Jun,Manufacturing,Fuel,No,2498,1.998,763,67.5,299.76
2024-06-01,2024,6,Jun,Manufacturing,Solar,Yes,1158,0.023,809,57.4,92.64
2024-06-01,2024,6,Jun,Logistics,Fuel,No,4833,3.866,783,26.0,579.96
2024-06-01,2024,6,Jun,Logistics,Electricity,No,2401,1.201,621,27.1,240.1
2024-06-01,2024,6,Jun,Logistics,Wind,Yes,740,0.015,788,33.8,51.8
2024-06-01,2024,6,Jun,IT,Electricity,No,2086,1.043,327,68.7,208.6
2024-06-01,2024,6,Jun,IT,Solar,Yes,1890,0.038,484,67.4,151.2
2024-06-01,2024,6,Jun,IT,Wind,Yes,975,0.019,431,74.4,68.25
2024-07-01,2024,7,Jul,Manufacturing,Electricity,No,8107,4.053,974,60.5,810.7
2024-07-01,2024,7,Jul,Manufacturing,Fuel,No,2228,1.782,1150,48.4,267.36
2024-07-01,2024,7,Jul,Manufacturing,Solar,Yes,1160,0.023,882,56.3,92.8
2024-07-01,2024,7,Jul,Logistics,Fuel,No,4974,3.979,862,23.1,596.88
2024-07-01,2024,7,Jul,Logistics,Electricity,No,2319,1.159,771,32.8,231.9
2024-07-01,2024,7,Jul,Logistics,Wind,Yes,772,0.015,543,36.8,54.04
2024-07-01,2024,7,Jul,IT,Electricity,No,1938,0.969,301,64.3,193.8
2024-07-01,2024,7,Jul,IT,Solar,Yes,1923,0.038,438,60.3,153.84
2024-07-01,2024,7,Jul,IT,Wind,Yes,870,0.017,442,75.3,60.9
2024-08-01,2024,8,Aug,Manufacturing,Electricity,No,7269,3.635,1078,41.0,726.9
2024-08-01,2024,8,Aug,Manufacturing,Fuel,No,2339,1.871,1035,53.3,280.68
2024-08-01,2024,8,Aug,Manufacturing,Solar,Yes,1029,0.021,896,51.2,82.32
2024-08-01,2024,8,Aug,Logistics,Fuel,No,4111,3.289,890,23.5,493.32
2024-08-01,2024,8,Aug,Logistics,Electricity,No,2326,1.163,767,28.1,232.6
2024-08-01,2024,8,Aug,Logistics,Wind,Yes,731,0.015,747,41.6,51.17
2024-08-01,2024,8,Aug,IT,Electricity,No,1646,0.823,444,69.7,164.6
2024-08-01,2024,8,Aug,IT,Solar,Yes,1689,0.034,488,73.9,135.12
2024-08-01,2024,8,Aug,IT,Wind,Yes,905,0.018,493,75.9,63.35
2024-09-01,2024,9,Sep,Manufacturing,Electricity,No,7111,3.555,1128,37.9,711.1
2024-09-01,2024,9,Sep,Manufacturing,Fuel,No,2019,1.615,987,45.9,242.28
2024-09-01,2024,9,Sep,Manufacturing,Solar,Yes,1093,0.022,993,53.1,87.44
2024-09-01,2024,9,Sep,Logistics,Fuel,No,4389,3.511,896,23.5,526.68
2024-09-01,2024,9,Sep,Logistics,Electricity,No,2168,1.084,855,20.9,216.8
2024-09-01,2024,9,Sep,Logistics,Wind,Yes,763,0.015,792,38.5,53.41
2024-09-01,2024,9,Sep,IT,Electricity,No,1626,0.813,461,62.5,162.6
2024-09-01,2024,9,Sep,IT,Solar,Yes,1838,0.037,482,72.1,147.04
2024-09-01,2024,9,Sep,IT,Wind,Yes,932,0.019,459,95.0,65.24
2024-10-01,2024,10,Oct,Manufacturing,Electricity,No,8387,4.194,1101,57.9,838.7
2024-10-01,2024,10,Oct,Manufacturing,Fuel,No,2143,1.714,900,56.1,257.16
2024-10-01,2024,10,Oct,Manufacturing,Solar,Yes,1108,0.022,737,43.2,88.64
2024-10-01,2024,10,Oct,Logistics,Fuel,No,5094,4.075,643,15.1,611.28
2024-10-01,2024,10,Oct,Logistics,Electricity,No,2128,1.064,553,30.6,212.8
2024-10-01,2024,10,Oct,Logistics,Wind,Yes,706,0.014,585,38.7,49.42
2024-10-01,2024,10,Oct,IT,Electricity,No,2026,1.013,343,71.0,202.6
2024-10-01,2024,10,Oct,IT,Solar,Yes,1733,0.035,310,71.7,138.64
2024-10-01,2024,10,Oct,IT,Wind,Yes,1066,0.021,427,84.7,74.62
2024-11-01,2024,11,Nov,Manufacturing,Electricity,No,6848,3.424,1101,51.5,684.8
2024-11-01,2024,11,Nov,Manufacturing,Fuel,No,2209,1.767,757,36.6,265.08
2024-11-01,2024,11,Nov,Manufacturing,Solar,Yes,1180,0.024,916,56.9,94.4
2024-11-01,2024,11,Nov,Logistics,Fuel,No,4453,3.562,630,27.5,534.36
2024-11-01,2024,11,Nov,Logistics,Electricity,No,2561,1.28,777,33.2,256.1
2024-11-01,2024,11,Nov,Logistics,Wind,Yes,780,0.016,760,43.2,54.6
2024-11-01,2024,11,Nov,IT,Electricity,No,1697,0.849,371,66.1,169.7
2024-11-01,2024,11,Nov,IT,Solar,Yes,1868,0.037,319,85.0,149.44
2024-11-01,2024,11,Nov,IT,Wind,Yes,734,0.015,334,61.8,51.38
2024-12-01,2024,12,Dec,Manufacturing,Electricity,No,7226,3.613,1015,39.6,722.6
2024-12-01,2024,12,Dec,Manufacturing,Fuel,No,2326,1.861,899,51.0,279.12
2024-12-01,2024,12,Dec,Manufacturing,Solar,Yes,1204,0.024,1131,68.8,96.32
2024-12-01,2024,12,Dec,Logistics,Fuel,No,4470,3.576,565,33.7,536.4
2024-12-01,2024,12,Dec,Logistics,Electricity,No,2365,1.183,750,30.5,236.5
2024-12-01,2024,12,Dec,Logistics,Wind,Yes,806,0.016,679,35.3,56.42
2024-12-01,2024,12,Dec,IT,Electricity,No,1913,0.957,409,86.9,191.3
2024-12-01,2024,12,Dec,IT,Solar,Yes,1978,0.04,492,74.7,158.24
2024-12-01,2024,12,Dec,IT,Wind,Yes,965,0.019,363,71.7,67.55
2025-01-01,2025,1,Jan,Manufacturing,Electricity,No,8456,4.228,776,56.8,845.6
2025-01-01,2025,1,Jan,Manufacturing,Fuel,No,2687,2.15,1141,61.6,322.44
2025-01-01,2025,1,Jan,Manufacturing,Solar,Yes,1331,0.027,855,55.0,106.48
2025-01-01,2025,1,Jan,Logistics,Fuel,No,5234,4.187,830,24.3,628.08
2025-01-01,2025,1,Jan,Logistics,Electricity,No,2516,1.258,673,30.9,251.6
2025-01-01,2025,1,Jan,Logistics,Wind,Yes,800,0.016,875,39.3,56.0
2025-01-01,2025,1,Jan,IT,Electricity,No,2068,1.034,450,78.8,206.8
2025-01-01,2025,1,Jan,IT,Solar,Yes,2040,0.041,480,72.1,163.2
2025-01-01,2025,1,Jan,IT,Wind,Yes,1145,0.023,364,70.2,80.15
2025-02-01,2025,2,Feb,Manufacturing,Electricity,No,8974,4.487,725,56.8,897.4
2025-02-01,2025,2,Feb,Manufacturing,Fuel,No,2667,2.134,1176,49.0,320.04
2025-02-01,2025,2,Feb,Manufacturing,Solar,Yes,1478,0.03,935,58.5,118.24
2025-02-01,2025,2,Feb,Logistics,Fuel,No,4848,3.878,782,20.3,581.76
2025-02-01,2025,2,Feb,Logistics,Electricity,No,2748,1.374,824,35.3,274.8
2025-02-01,2025,2,Feb,Logistics,Wind,Yes,868,0.017,560,22.8,60.76
2025-02-01,2025,2,Feb,IT,Electricity,No,1855,0.927,477,84.2,185.5
2025-02-01,2025,2,Feb,IT,Solar,Yes,2047,0.041,328,67.4,163.76
2025-02-01,2025,2,Feb,IT,Wind,Yes,1133,0.023,320,80.9,79.31
2025-03-01,2025,3,Mar,Manufacturing,Electricity,No,9398,4.699,754,45.9,939.8
2025-03-01,2025,3,Mar,Manufacturing,Fuel,No,2743,2.194,759,57.0,329.16
2025-03-01,2025,3,Mar,Manufacturing,Solar,Yes,1186,0.024,1110,38.7,94.88
2025-03-01,2025,3,Mar,Logistics,Fuel,No,5034,4.027,570,40.9,604.08
2025-03-01,2025,3,Mar,Logistics,Electricity,No,2697,1.349,692,41.8,269.7
2025-03-01,2025,3,Mar,Logistics,Wind,Yes,861,0.017,708,30.0,60.27
2025-03-01,2025,3,Mar,IT,Electricity,No,2249,1.125,449,63.4,224.9
2025-03-01,2025,3,Mar,IT,Solar,Yes,2275,0.046,374,70.7,182.0
2025-03-01,2025,3,Mar,IT,Wind,Yes,1153,0.023,344,66.8,80.71
2025-04-01,2025,4,Apr,Manufacturing,Electricity,No,9171,4.585,1196,57.9,917.1
2025-04-01,2025,4,Apr,Manufacturing,Fuel,No,2625,2.1,1185,43.8,315.0
2025-04-01,2025,4,Apr,Manufacturing,Solar,Yes,1511,0.03,1053,53.2,120.88
2025-04-01,2025,4,Apr,Logistics,Fuel,No,6001,4.801,750,23.9,720.12
2025-04-01,2025,4,Apr,Logistics,Electricity,No,2587,1.294,763,37.8,258.7
2025-04-01,2025,4,Apr,Logistics,Wind,Yes,818,0.016,706,25.2,57.26
2025-04-01,2025,4,Apr,IT,Electricity,No,2330,1.165,315,55.5,233.0
2025-04-01,2025,4,Apr,IT,Solar,Yes,2225,0.045,361,85.0,178.0
2025-04-01,2025,4,Apr,IT,Wind,Yes,1130,0.023,332,77.8,79.1
2025-05-01,2025,5,May,Manufacturing,Electricity,No,8004,4.002,1167,64.7,800.4
2025-05-01,2025,5,May,Manufacturing,Fuel,No,2507,2.006,1109,47.7,300.84
2025-05-01,2025,5,May,Manufacturing,Solar,Yes,1108,0.022,1185,60.8,88.64
2025-05-01,2025,5,May,Logistics,Fuel,No,5137,4.11,708,32.2,616.44
2025-05-01,2025,5,May,Logistics,Electricity,No,2238,1.119,560,25.2,223.8
2025-05-01,2025,5,May,Logistics,Wind,Yes,855,0.017,899,32.4,59.85
2025-05-01,2025,5,May,IT,Electricity,No,2100,1.05,453,70.4,210.0
2025-05-01,2025,5,May,IT,Solar,Yes,2053,0.041,325,57.2,164.24
2025-05-01,2025,5,May,IT,Wind,Yes,1058,0.021,345,74.1,74.06
2025-06-01,2025,6,Jun,Manufacturing,Electricity,No,9023,4.511,891,62.3,902.3
2025-06-01,2025,6,Jun,Manufacturing,Fuel,No,2455,1.964,969,44.0,294.6
2025-06-01,2025,6,Jun,Manufacturing,Solar,Yes,1209,0.024,1129,62.4,96.72
2025-06-01,2025,6,Jun,Logistics,Fuel,No,5492,4.394,855,44.0,659.04
2025-06-01,2025,6,Jun,Logistics,Electricity,No,2228,1.114,550,27.8,222.8
2025-06-01,2025,6,Jun,Logistics,Wind,Yes,836,0.017,793,40.9,58.52
2025-06-01,2025,6,Jun,IT,Electricity,No,1939,0.97,302,67.3,193.9
2025-06-01,2025,6,Jun,IT,Solar,Yes,2148,0.043,378,55.9,171.84
2025-06-01,2025,6,Jun,IT,Wind,Yes,1062,0.021,369,68.9,74.34
2025-07-01,2025,7,Jul,Manufacturing,Electricity,No,8819,4.41,910,50.6,881.9
2025-07-01,2025,7,Jul,Manufacturing,Fuel,No,2436,1.949,1175,52.6,292.32
2025-07-01,2025,7,Jul,Manufacturing,Solar,Yes,1004,0.02,940,49.6,80.32
2025-07-01,2025,7,Jul,Logistics,Fuel,No,4558,3.646,658,33.2,546.96
2025-07-01,2025,7,Jul,Logistics,Electricity,No,2071,1.036,567,35.4,207.1
2025-07-01,2025,7,Jul,Logistics,Wind,Yes,701,0.014,664,33.9,49.07
2025-07-01,2025,7,Jul,IT,Electricity,No,1891,0.946,433,77.6,189.1
2025-07-01,2025,7,Jul,IT,Solar,Yes,1840,0.037,308,66.2,147.2
2025-07-01,2025,7,Jul,IT,Wind,Yes,914,0.018,335,63.7,63.98
2025-08-01,2025,8,Aug,Manufacturing,Electricity,No,6902,3.451,894,48.5,690.2
2025-08-01,2025,8,Aug,Manufacturing,Fuel,No,2493,1.994,738,50.3,299.16
2025-08-01,2025,8,Aug,Manufacturing,Solar,Yes,1135,0.023,759,59.6,90.8
2025-08-01,2025,8,Aug,Logistics,Fuel,No,4349,3.479,830,28.2,521.88
2025-08-01,2025,8,Aug,Logistics,Electricity,No,2079,1.04,615,34.6,207.9
2025-08-01,2025,8,Aug,Logistics,Wind,Yes,716,0.014,762,11.6,50.12
2025-08-01,2025,8,Aug,IT,Electricity,No,1746,0.873,449,52.5,174.6
2025-08-01,2025,8,Aug,IT,Solar,Yes,1900,0.038,402,72.5,152.0
2025-08-01,2025,8,Aug,IT,Wind,Yes,851,0.017,389,70.6,59.57
2025-09-01,2025,9,Sep,Manufacturing,Electricity,No,6709,3.355,849,51.6,670.9
2025-09-01,2025,9,Sep,Manufacturing,Fuel,No,2131,1.705,874,49.6,255.72
2025-09-01,2025,9,Sep,Manufacturing,Solar,Yes,1031,0.021,777,41.3,82.48
2025-09-01,2025,9,Sep,Logistics,Fuel,No,4385,3.508,784,37.3,526.2
2025-09-01,2025,9,Sep,Logistics,Electricity,No,2158,1.079,571,41.8,215.8
2025-09-01,2025,9,Sep,Logistics,Wind,Yes,839,0.017,808,38.1,58.73
2025-09-01,2025,9,Sep,IT,Electricity,No,1669,0.835,356,68.5,166.9
2025-09-01,2025,9,Sep,IT,Solar,Yes,1975,0.04,414,59.5,158.0
2025-09-01,2025,9,Sep,IT,Wind,Yes,811,0.016,320,74.5,56.77
2025-10-01,2025,10,Oct,Manufacturing,Electricity,No,7426,3.713,797,45.0,742.6
2025-10-01,2025,10,Oct,Manufacturing,Fuel,No,2101,1.681,803,43.1,252.12
2025-10-01,2025,10,Oct,Manufacturing,Solar,Yes,904,0.018,1191,55.5,72.32
2025-10-01,2025,10,Oct,Logistics,Fuel,No,4310,3.448,889,22.7,517.2
2025-10-01,2025,10,Oct,Logistics,Electricity,No,2228,1.114,632,32.2,222.8
2025-10-01,2025,10,Oct,Logistics,Wind,Yes,756,0.015,874,22.2,52.92
2025-10-01,2025,10,Oct,IT,Electricity,No,2088,1.044,355,83.0,208.8
2025-10-01,2025,10,Oct,IT,Solar,Yes,1742,0.035,364,74.6,139.36
2025-10-01,2025,10,Oct,IT,Wind,Yes,931,0.019,348,48.1,65.17
2025-11-01,2025,11,Nov,Manufacturing,Electricity,No,8125,4.062,858,42.8,812.5
2025-11-01,2025,11,Nov,Manufacturing,Fuel,No,2098,1.678,950,52.1,251.76
2025-11-01,2025,11,Nov,Manufacturing,Solar,Yes,1087,0.022,881,50.4,86.96
2025-11-01,2025,11,Nov,Logistics,Fuel,No,4367,3.494,785,36.1,524.04
2025-11-01,2025,11,Nov,Logistics,Electricity,No,2364,1.182,709,41.5,236.4
2025-11-01,2025,11,Nov,Logistics,Wind,Yes,665,0.013,874,21.7,46.55
2025-11-01,2025,11,Nov,IT,Electricity,No,1949,0.975,487,65.2,194.9
2025-11-01,2025,11,Nov,IT,Solar,Yes,1964,0.039,468,82.6,157.12
2025-11-01,2025,11,Nov,IT,Wind,Yes,972,0.019,340,66.7,68.04
2025-12-01,2025,12,Dec,Manufacturing,Electricity,No,8212,4.106,1110,47.4,821.2
2025-12-01,2025,12,Dec,Manufacturing,Fuel,No,2448,1.958,892,66.6,293.76
2025-12-01,2025,12,Dec,Manufacturing,Solar,Yes,1177,0.024,1111,57.6,94.16
2025-12-01,2025,12,Dec,Logistics,Fuel,No,4115,3.292,706,21.9,493.8
2025-12-01,2025,12,Dec,Logistics,Electricity,No,2576,1.288,720,23.3,257.6
2025-12-01,2025,12,Dec,Logistics,Wind,Yes,818,0.016,678,28.2,57.26
2025-12-01,2025,12,Dec,IT,Electricity,No,2124,1.062,424,70.8,212.4
2025-12-01,2025,12,Dec,IT,Solar,Yes,1792,0.036,327,79.2,143.36
2025-12-01,2025,12,Dec,IT,Wind,Yes,1035,0.021,406,80.0,72.45
